"Snapshot","User","Reason","Item","Day","Birth","Product_Line","Price","Has_Promo","Model","PNT","Sys_p90","Sys_p50","User_p90","User_p50","Sold","target"
2014-07-03,"retail_38","New Item","X20255",2014-07-06,2012-03-16,"P28","$119.00 ","","ARIMA",0.694,1.566,0.441,6,3,1,0
2014-07-03,"retail_71","New Item","X4088",2014-07-13,2013-05-06,"P17","$30.07 ","N","ARIMA",0.034,0.517,0.105,12,4,0,0
2014-07-11,"retail_311","Wide Distribution","X24207",2014-07-13,2012-12-27,"P28","$54.32 ","Y","DLM",0.75,2.722,0.91,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X24292",2014-07-13,2014-06-28,"P28","$18.95 ","N","ARIMA",1.914,5.627,1.985,12,4,0,0
2014-07-11,"retail_311","Wide Distribution","X6020",2014-07-13,2013-07-28,"P28","$4.12 ","N","ARIMA",0.575,3.126,0.971,12,4,0,0
2014-07-02,"retail_306","Manual order","X35038",2014-07-13,2013-11-24,"P12","$14.99 ","N","ARIMA",22.178,41.676,22.007,72,30,17,0
2014-07-11,"retail_311","Wide Distribution","X6111",2014-07-13,2012-11-17,"P28","$15.42 ","N","ARIMA",2.096,1.065,0.181,108,36,0,0
2014-07-11,"retail_311","Wide Distribution","X31451",2014-07-13,2014-06-19,"P28","$85.00 ","N","ARIMA",0.194,1.047,0.253,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X44028",2014-07-13,2014-06-19,"P28","$26.99 ","N","ARIMA",1.33,6.899,1.929,24,8,0,0
2014-07-11,"retail_311","Wide Distribution","X36404",2014-07-13,2014-06-23,"P28","$39.95 ","N","ARIMA",1.652,3.899,1.4,9,3,7,1
2014-07-11,"retail_311","Wide Distribution","X19712",2014-07-13,2014-06-23,"P28","$13.75 ","N","ARIMA",48.346,119.567,48.701,162,54,33,0
2014-07-11,"retail_311","Wide Distribution","X21000",2014-07-13,2014-06-18,"P28","$12.99 ","N","ARIMA",2.544,6.448,2.418,6,2,1,1
2014-07-11,"retail_311","Wide Distribution","X37655",2014-07-13,2014-06-23,"P28","$35.19 ","N","ARIMA",3.694,8.208,3.175,12,4,5,1
